type,paperless_billing,payment_method,total_charges,contract_terminated,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support
Month-to-month,Yes,Electronic check,144.15,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),1426.4,1,0,No,No,Fiber optic,Yes,Yes,No,No
Month-to-month,Yes,Credit card (automatic),633.3,1,1,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1752.55,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,857.25,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,79.35,1,0,No,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),496.9,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,927.35,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,No,Mailed check,113.85,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,2514.5,1,1,Yes,No,Fiber optic,No,Yes,Yes,No
Two year,Yes,Bank transfer (automatic),7611.85,1,0,Yes,No,Fiber optic,No,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,5238.9,1,0,Yes,No,Fiber optic,Yes,Yes,No,No
Month-to-month,Yes,Electronic check,2868.15,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1064.65,1,0,Yes,Yes,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,229.55,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2135.5,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Credit card (automatic),1502.65,1,0,Yes,Yes,DSL,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,35.45,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Electronic check,81.25,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Mailed check,70.45,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,563.65,1,0,No,No,DSL,Yes,No,No,Yes
Month-to-month,Yes,Electronic check,45.65,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Mailed check,655.5,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,1592.35,1,0,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Bank transfer (automatic),273.0,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2651.2,1,1,Yes,No,DSL,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,242.8,1,0,Yes,No,Fiber optic,No,No,Yes,Yes
One year,Yes,Bank transfer (automatic),5000.2,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Mailed check,1145.7,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Bank transfer (automatic),503.6,1,1,No,No,Fiber optic,Yes,No,No,No
Month-to-month,No,Bank transfer (automatic),29.95,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,No,Bank transfer (automatic),662.65,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1111.65,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,24.8,1,0,Yes,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,531.0,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Electronic check,79.9,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1934.45,1,0,No,No,Fiber optic,Yes,No,Yes,Yes
Month-to-month,Yes,Credit card (automatic),84.5,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,268.35,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,179.35,1,0,Yes,No,DSL,No,No,No,Yes
Month-to-month,No,Mailed check,55.2,1,0,Yes,No,DSL,No,No,No,No
Month-to-month,Yes,Mailed check,84.6,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Mailed check,114.1,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Electronic check,1120.3,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1074.3,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Mailed check,48.55,1,0,No,No,DSL,Yes,No,No,No
Month-to-month,No,Electronic check,147.15,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,40.2,1,1,Yes,No,DSL,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),80.55,1,0,Yes,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,132.2,1,1,No,No,DSL,No,No,Yes,No
Month-to-month,Yes,Electronic check,1364.3,1,1,No,No,Fiber optic,No,Yes,Yes,No
Two year,No,Mailed check,1099.6,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,1511.2,1,1,No,No,Fiber optic,No,No,No,Yes
Month-to-month,No,Bank transfer (automatic),24.8,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Mailed check,70.6,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,401.1,1,0,Yes,No,Fiber optic,No,Yes,No,Yes
Month-to-month,Yes,Electronic check,5624.85,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Mailed check,1779.95,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
Month-to-month,No,Electronic check,70.0,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,606.55,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),435.4,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,1712.7,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,73.6,1,0,No,Yes,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,396.1,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2303.35,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,415.55,1,0,No,No,Fiber optic,No,No,No,No
One year,No,Credit card (automatic),3058.65,1,0,Yes,Yes,DSL,Yes,Yes,No,Yes
Month-to-month,Yes,Electronic check,2231.05,1,1,Yes,No,Fiber optic,No,No,Yes,No
One year,No,Bank transfer (automatic),4350.1,1,1,No,No,DSL,Yes,Yes,No,Yes
Month-to-month,Yes,Electronic check,139.05,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,511.25,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,155.8,1,0,No,No,Fiber optic,No,No,Yes,No
One year,Yes,Bank transfer (automatic),5293.95,1,0,Yes,Yes,DSL,No,Yes,Yes,Yes
Two year,Yes,Electronic check,4759.85,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,6603.0,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,168.2,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),371.9,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,840.1,1,1,No,No,DSL,Yes,No,No,No
Month-to-month,Yes,Bank transfer (automatic),846.0,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Credit card (automatic),805.1,1,1,Yes,No,DSL,Yes,No,No,No
Month-to-month,No,Bank transfer (automatic),492.55,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,181.5,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),2566.5,1,0,Yes,No,Fiber optic,No,No,Yes,Yes
Month-to-month,No,Mailed check,50.65,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),90.85,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Mailed check,214.75,1,1,Yes,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,4874.7,1,1,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Credit card (automatic),2524.45,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),7007.6,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Mailed check,19.9,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Mailed check,19.6,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,233.7,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,1845.9,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),75.3,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Mailed check,1182.55,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Bank transfer (automatic),518.9,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,6396.45,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Mailed check,69.55,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2227.1,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,385.9,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,673.25,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,734.35,1,0,Yes,Yes,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,55.0,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,74.7,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1861.5,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,453.4,1,0,No,No,Fiber optic,No,No,No,Yes
Month-to-month,No,Bank transfer (automatic),994.8,1,0,No,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),2145.0,1,0,Yes,No,DSL,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,680.05,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,74.35,1,0,No,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,139.4,1,0,Yes,No,Fiber optic,Yes,No,No,No
One year,Yes,Bank transfer (automatic),903.6,1,0,No,No,DSL,No,Yes,Yes,No
Month-to-month,No,Electronic check,131.05,1,1,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),1238.45,1,0,No,No,Fiber optic,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,1782.4,1,1,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,167.5,1,0,Yes,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Electronic check,502.85,1,0,Yes,Yes,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Electronic check,334.8,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,No,Bank transfer (automatic),4131.95,1,0,No,No,Fiber optic,No,No,Yes,Yes
Month-to-month,Yes,Bank transfer (automatic),1929.35,1,1,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,No,Bank transfer (automatic),1758.6,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,3480.0,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,85.0,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),834.1,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),597.0,1,0,No,No,DSL,Yes,No,No,Yes
Month-to-month,Yes,Mailed check,3266.0,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),2596.15,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,3527.6,1,0,No,No,Fiber optic,No,No,Yes,No
One year,No,Credit card (automatic),5614.45,1,0,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Mailed check,233.55,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Mailed check,75.3,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,346.2,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,85.7,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,713.75,1,0,No,No,DSL,Yes,No,Yes,Yes
Month-to-month,No,Bank transfer (automatic),6786.4,1,1,Yes,No,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,248.95,1,0,Yes,Yes,DSL,No,Yes,No,No
Month-to-month,No,Mailed check,663.05,1,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes
Month-to-month,No,Bank transfer (automatic),137.6,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Credit card (automatic),4547.25,1,1,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,205.05,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),4687.9,1,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,6985.65,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
One year,Yes,Bank transfer (automatic),5794.65,1,1,Yes,Yes,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,855.3,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,2499.3,1,0,Yes,Yes,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,89.55,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1899.65,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,45.7,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Electronic check,161.5,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),222.3,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,74.6,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Electronic check,164.3,1,1,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
One year,No,Mailed check,35.9,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Mailed check,96.05,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Electronic check,145.15,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,191.05,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Mailed check,75.05,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2550.9,1,1,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Electronic check,62.25,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Electronic check,80.0,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,91.1,1,1,No,No,DSL,Yes,No,No,No
Month-to-month,Yes,Credit card (automatic),270.7,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,168.15,1,0,Yes,Yes,DSL,No,No,Yes,No
Month-to-month,Yes,Bank transfer (automatic),2015.35,1,0,No,No,Fiber optic,Yes,Yes,No,No
Month-to-month,No,Mailed check,19.55,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,381.3,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,141.5,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,3105.55,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,No,Credit card (automatic),2758.15,1,1,No,No,Fiber optic,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,3941.7,1,0,No,No,Fiber optic,No,No,Yes,Yes
Month-to-month,No,Electronic check,1008.55,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,1842.8,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Bank transfer (automatic),1269.55,1,0,No,Yes,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,1907.85,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,208.85,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1444.65,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,19.9,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Mailed check,454.15,1,0,Yes,No,Fiber optic,Yes,No,Yes,No
One year,Yes,Electronic check,3036.75,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,184.65,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,89.5,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,52.2,1,0,No,No,DSL,No,No,No,Yes
One year,Yes,Electronic check,4874.8,1,1,No,No,Fiber optic,Yes,Yes,Yes,No
One year,Yes,Electronic check,6125.4,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,1058.25,1,0,No,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Electronic check,489.45,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,4113.1,1,0,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,69.55,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Bank transfer (automatic),6017.65,1,0,No,No,Fiber optic,No,Yes,Yes,No
Two year,Yes,Credit card (automatic),7250.15,1,0,No,No,Fiber optic,Yes,No,No,Yes
Month-to-month,Yes,Mailed check,178.7,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,2317.1,1,0,Yes,No,Fiber optic,No,Yes,Yes,Yes
Month-to-month,Yes,Credit card (automatic),1430.25,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Bank transfer (automatic),644.35,1,1,Yes,No,Fiber optic,No,No,No,No
One year,No,Electronic check,5453.4,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
One year,No,Electronic check,5610.7,1,0,Yes,No,Fiber optic,Yes,Yes,No,Yes
Month-to-month,Yes,Electronic check,292.8,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,44.4,1,0,No,No,DSL,No,No,No,No
One year,Yes,Electronic check,5509.3,1,1,No,No,Fiber optic,No,No,Yes,No
One year,No,Bank transfer (automatic),229.6,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,89.9,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Electronic check,6413.65,1,0,No,Yes,Fiber optic,No,No,Yes,No
Month-to-month,No,Electronic check,50.8,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Electronic check,1463.5,1,1,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,307.4,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),2104.55,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,319.15,1,0,Yes,No,Fiber optic,No,No,Yes,Yes
One year,No,Electronic check,5084.65,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,3027.4,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,No,Electronic check,1582.75,1,0,No,No,Fiber optic,Yes,No,Yes,Yes
Month-to-month,Yes,Electronic check,1043.3,1,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
Month-to-month,No,Electronic check,497.55,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,6215.35,1,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No
Month-to-month,Yes,Bank transfer (automatic),5017.9,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Electronic check,24.6,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),1120.95,1,0,No,No,Fiber optic,Yes,No,No,Yes
Month-to-month,No,Credit card (automatic),923.5,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Electronic check,1625.65,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,918.6,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,688.65,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,73.55,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,952.3,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,360.1,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,434.5,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,No,Bank transfer (automatic),215.8,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,3395.8,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Mailed check,85.15,1,1,No,No,DSL,No,No,No,No
Month-to-month,No,Credit card (automatic),44.7,1,0,Yes,No,DSL,No,No,No,No
Month-to-month,No,Credit card (automatic),832.35,1,1,No,No,Fiber optic,Yes,No,No,Yes
Month-to-month,No,Electronic check,112.3,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,174.8,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,90.55,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1359.7,1,1,Yes,No,DSL,No,Yes,No,No
Two year,Yes,Electronic check,7532.15,1,0,No,No,Fiber optic,Yes,No,Yes,Yes
Month-to-month,Yes,Electronic check,69.9,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Electronic check,6383.35,1,1,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,86.6,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),2656.5,1,1,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Credit card (automatic),2917.5,1,0,No,No,Fiber optic,No,Yes,No,Yes
Month-to-month,Yes,Credit card (automatic),2416.1,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,424.45,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,660.9,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,1893.95,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1612.75,1,0,No,No,Fiber optic,No,No,No,Yes
Month-to-month,No,Electronic check,119.75,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),3204.65,1,0,Yes,Yes,Fiber optic,Yes,No,No,No
Month-to-month,No,Electronic check,990.85,1,0,Yes,Yes,DSL,No,No,Yes,No
One year,No,Credit card (automatic),696.35,1,0,Yes,Yes,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,819.4,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,2070.6,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,273.75,1,1,Yes,Yes,Fiber optic,Yes,No,No,Yes
Month-to-month,Yes,Electronic check,729.95,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,3013.05,1,0,Yes,No,Fiber optic,Yes,Yes,No,No
Month-to-month,No,Credit card (automatic),1266.1,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),2347.9,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,19.65,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,526.95,1,1,No,No,DSL,No,No,Yes,Yes
Two year,No,Mailed check,808.95,0,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Electronic check,210.75,1,0,No,No,DSL,No,No,Yes,No
Month-to-month,Yes,Bank transfer (automatic),3706.95,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,412.5,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,832.05,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Bank transfer (automatic),185.55,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1943.2,1,0,No,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Bank transfer (automatic),2169.8,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Bank transfer (automatic),4853.75,1,0,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Bank transfer (automatic),144.55,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),91.1,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),713.0,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Bank transfer (automatic),4527.45,1,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
